PT_ID,PT_DATE,PT_TIME,PT_TAG,PT_PLATE,PT_ENCLOSURE,PT_TA,PT_TB,PT_IB_ID,PT_CT_ID
92,2007-11-09,21:29:19,205,bb,3,0,0,NULL,NULL
93,2007-11-09,21:46:15,205,bb,3,0,0,NULL,NULL
94,2007-11-09,21:47:04,205,bb,3,0,0,NULL,NULL
95,2007-11-09,23:24:02,205,bb,3,0,0,NULL,NULL
96,2007-11-09,23:24:17,205,bb,3,0,0,NULL,NULL
97,2007-11-09,23:33:44,205,bb,3,0,0,NULL,NULL
98,2007-11-10,02:20:02,205,bb,3,0,0,NULL,NULL
99,2007-11-10,02:24:14,205,bb,3,0,0,NULL,NULL
100,2007-11-10,04:57:37,205,bb,3,0,0,NULL,NULL
101,2007-11-10,06:04:01,205,bb,3,0,0,NULL,NULL
102,2007-11-10,17:06:26,205,bb,3,0,0,NULL,NULL
103,2007-11-10,17:07:39,205,bb,3,0,0,NULL,NULL
104,2007-11-10,17:11:24,205,bb,3,0,0,NULL,NULL
105,2007-11-10,17:15:10,205,bb,3,0,0,NULL,NULL
106,2007-11-10,17:16:22,205,bb,3,0,0,NULL,NULL
107,2007-11-10,17:16:33,205,bb,3,0,0,NULL,NULL
108,2007-11-10,17:18:03,205,bb,3,0,0,NULL,NULL
109,2007-11-10,17:18:45,205,bb,3,0,0,NULL,NULL
110,2007-11-10,17:18:55,205,bb,3,0,0,NULL,NULL
111,2007-11-10,17:19:05,205,bb,3,0,0,NULL,NULL
112,2007-11-10,17:20:56,205,bb,3,0,0,NULL,NULL
113,2007-11-10,17:21:06,205,bb,3,0,0,NULL,NULL
114,2007-11-10,17:21:17,205,bb,3,0,0,NULL,NULL
115,2007-11-10,17:21:27,205,bb,3,0,0,NULL,NULL
116,2007-11-10,17:22:23,205,bb,3,0,0,NULL,NULL
117,2007-11-10,17:24:42,205,bb,3,0,0,NULL,NULL
118,2007-11-10,17:25:01,205,bb,3,0,0,NULL,NULL
119,2007-11-10,17:32:11,205,bb,3,0,0,NULL,NULL
120,2007-11-10,17:33:22,205,bb,3,0,0,NULL,NULL
121,2007-11-10,17:33:32,205,bb,3,0,0,NULL,NULL
122,2007-11-10,17:33:42,205,bb,3,0,0,NULL,NULL
123,2007-11-10,17:33:52,205,bb,3,0,0,NULL,NULL
124,2007-11-10,17:47:17,205,bb,3,0,0,NULL,NULL
125,2007-11-10,18:28:43,205,bb,3,0,0,NULL,NULL
126,2007-11-10,20:05:47,205,bb,3,0,0,NULL,NULL
127,2007-11-10,20:06:05,205,bb,3,0,0,NULL,NULL
128,2007-11-10,20:06:50,205,bb,3,0,0,NULL,NULL
129,2007-11-10,20:07:15,205,bb,3,0,0,NULL,NULL
130,2007-11-10,20:13:33,205,bb,3,0,0,NULL,NULL
131,2007-11-10,20:14:16,205,bb,3,0,0,NULL,NULL
132,2007-11-10,20:14:52,205,bb,3,0,0,NULL,NULL
133,2007-11-10,20:18:00,205,bb,3,0,0,NULL,NULL
134,2007-11-10,20:18:28,205,bb,3,0,0,NULL,NULL
135,2007-11-10,20:27:33,205,bb,3,0,0,NULL,NULL
136,2007-11-10,20:27:45,205,bb,3,0,0,NULL,NULL
137,2007-11-10,20:29:08,205,bb,3,0,0,NULL,NULL
138,2007-11-10,20:46:06,205,bb,3,0,0,NULL,NULL
139,2007-11-10,20:46:17,205,bb,3,0,0,NULL,NULL
140,2007-11-10,20:47:22,205,bb,3,0,0,NULL,NULL
141,2007-11-10,20:51:10,205,bb,3,0,0,NULL,NULL
142,2007-11-10,20:51:25,205,bb,3,0,0,NULL,NULL
143,2007-11-10,20:52:32,205,bb,3,0,0,NULL,NULL
144,2007-11-10,20:54:22,205,bb,3,0,0,NULL,NULL
145,2007-11-10,20:55:29,205,bb,3,0,0,NULL,NULL
146,2007-11-10,20:55:40,205,bb,3,0,0,NULL,NULL
147,2007-11-10,20:59:56,205,bb,3,0,0,NULL,NULL
148,2007-11-11,00:14:01,205,bb,3,0,0,NULL,NULL
149,2007-11-11,00:14:30,205,bb,3,0,0,NULL,NULL
150,2007-11-11,00:14:40,205,bb,3,0,0,NULL,NULL
151,2007-11-11,00:14:50,205,bb,3,0,0,NULL,NULL
887,2007-11-08,17:09:44,662,bb,2,0,0,NULL,NULL
888,2007-11-08,17:09:54,662,bb,2,0,0,NULL,NULL
889,2007-11-08,17:10:04,662,bb,2,0,0,NULL,NULL
890,2007-11-08,17:10:14,662,bb,2,0,0,NULL,NULL
891,2007-11-08,17:10:24,662,bb,2,0,0,NULL,NULL
892,2007-11-08,17:10:42,662,bb,2,0,0,NULL,NULL
893,2007-11-08,17:10:52,662,bb,2,0,0,NULL,NULL
894,2007-11-08,17:11:05,662,bb,2,0,0,NULL,NULL
895,2007-11-08,17:12:07,662,bb,2,0,0,NULL,NULL
896,2007-11-08,17:12:17,662,bb,2,0,0,NULL,NULL
897,2007-11-08,17:14:03,662,bb,2,0,0,NULL,NULL
898,2007-11-08,17:14:23,662,bb,2,0,0,NULL,NULL
899,2007-11-08,17:14:33,662,bb,2,0,0,NULL,NULL
900,2007-11-08,17:14:43,662,bb,2,0,0,NULL,NULL
901,2007-11-08,17:15:36,662,bb,2,0,0,NULL,NULL
902,2007-11-08,17:15:49,662,bb,2,0,0,NULL,NULL
903,2007-11-08,17:16:01,662,bb,2,0,0,NULL,NULL
904,2007-11-08,17:16:12,662,bb,2,0,0,NULL,NULL
905,2007-11-08,17:16:39,662,bb,2,0,0,NULL,NULL
906,2007-11-08,17:17:01,662,bb,2,0,0,NULL,NULL
907,2007-11-08,17:18:10,662,bb,2,0,0,NULL,NULL
908,2007-11-08,17:18:21,662,bb,2,0,0,NULL,NULL
909,2007-11-08,17:18:31,662,bb,2,0,0,NULL,NULL
910,2007-11-08,17:18:41,662,bb,2,0,0,NULL,NULL
911,2007-11-08,17:18:51,662,bb,2,0,0,NULL,NULL
912,2007-11-08,17:19:03,662,bb,2,0,0,NULL,NULL
913,2007-11-08,17:19:25,662,bb,2,0,0,NULL,NULL
